osm_id,name,building,building:levels,height,addr:housenumber,addr:street,addr:postcode,amenity,shop,tourism,historic,start_date,wikidata
"way/993357813","","house","","","","","","","","","","",""
"way/993357814","","house","","","","","","","","","","",""
"way/993357815","","house","","","","","","","","","","",""
"way/993357816","","house","","","","","","","","","","",""
"way/993357817","","house","","","","","","","","","","",""
"way/993357818","","house","","","","","","","","","","",""
"way/993357819","","house","","","","","","","","","","",""
"way/993357820","","house","","","","","","","","","","",""
"way/993357821","","house","","","","","","","","","","",""
"way/993361869","","house","","","833","","","","","","","",""
"way/993361870","","house","","","","","","","","","","",""
"way/993361871","","house","","","841","","","","","","","",""
"way/993361872","","house","","","","","","","","","","",""
"way/993361873","","house","","","","","","","","","","",""
"way/993361874","","house","","","","","","","","","","",""
"way/993361877","","house","","","","","","","","","","",""
"way/993361880","","house","","","","","","","","","","",""
"way/993361881","","house","","","","","","","","","","",""
"way/993361882","","house","","","","","","","","","","",""
"way/993361885","","house","","","","","","","","","","",""
"way/993361890","","house","","","","","","","","","","",""
"way/993361891","","house","","","","","","","","","","",""
"way/993361892","","house","","","","","","","","","","",""
"way/993361893","","house","","","","","","","","","","",""
"way/993361894","","house","","","","","","","","","","",""
"way/993361895","","house","","","","","","","","","","",""
"way/993361896","","house","","","","","","","","","","",""
"way/993361897","","house","","","","","","","","","","",""
"way/993455408","","house","","","","","","","","","","",""
"way/993455409","","house","","","","","","","","","","",""
"way/993455410","","house","","","","","","","","","","",""
"way/993455411","","house","","","","","","","","","","",""
"way/993455412","","house","","","","","","","","","","",""
"way/993455413","","house","","","","","","","","","","",""
"way/993455414","","house","","","","","","","","","","",""
"way/993455415","","house","","","","","","","","","","",""
"way/993455416","","house","","","","","","","","","","",""
"way/993455417","","house","","","","","","","","","","",""
"way/993455418","","house","","","","","","","","","","",""
"way/993455419","","house","","","","","","","","","","",""
"way/993455420","","house","","","","","","","","","","",""
"way/993455421","","house","","","","","","","","","","",""
"way/993455422","","house","","","","","","","","","","",""
"way/993455423","","house","","","","","","","","","","",""
"way/993455424","","house","","","","","","","","","","",""
"way/993455425","","house","","","","","","","","","","",""
"way/993455426","","house","","","","","","","","","","",""
"way/993455427","","house","","","","","","","","","","",""
"way/993455428","","house","","","","","","","","","","",""
"way/993455454","","house","","","","","","","","","","",""
"way/998599090","","house","","","","","","","","","","",""
"way/998599091","","house","","","","","","","","","","",""
"way/998599092","","house","","","","","","","","","","",""
"way/998599093","","house","","","","","","","","","","",""
"way/1000880280","","hut","","","","","","","","","","",""
"way/1007423594","","roof","","","","","","","","","","",""
"way/1007490298","","roof","","","","","","","","","","",""
"way/1039986317","","yes","","","","","","","","","","",""
"way/1039986318","","yes","","","","","","","","","","",""
"way/1039986319","","yes","","","","","","","","","","",""
"way/1039986320","","yes","","","","","","","","","","",""
"way/1039986321","","yes","","","","","","","","","","",""
"way/1039986322","","yes","","","","","","","","","","",""
"way/1039986323","","yes","","","","","","","","","","",""
"way/1039986324","","yes","","","","","","","","","","",""
"way/1039986325","","yes","","","","","","","","","","",""
"way/1039986326","","yes","","","","","","","","","","",""
"way/1039986327","","yes","","","","","","","","","","",""
"way/1039986328","","yes","","","","","","","","","","",""
"way/1039986329","","yes","","","","","","","","","","",""
"way/1039986330","","yes","","","","","","","","","","",""
"way/1039986331","","yes","","","","","","","","","","",""
"way/1039986332","","yes","","","","","","","","","","",""
"way/1039986333","","yes","","","","","","","","","","",""
"way/1039986334","","yes","","","","","","","","","","",""
"way/1039986335","","yes","","","","","","","","","","",""
"way/1039986336","","yes","","","","","","","","","","",""
"way/1039986337","","yes","","","","","","","","","","",""
"way/1039986338","","yes","","","","","","","","","","",""
"way/1039986339","","yes","","","","","","","","","","",""
"way/1039986340","","yes","","","","","","","","","","",""
"way/1039986341","","yes","","","","","","","","","","",""
"way/1039986342","","yes","","","","","","","","","","",""
"way/1039986343","","yes","","","","","","","","","","",""
"way/1039986344","","yes","","","","","","","","","","",""
"way/1039986345","","yes","","","","","","","","","","",""
"way/1039986346","","yes","","","","","","","","","","",""
"way/1039986347","","yes","","","","","","","","","","",""
"way/1039986348","","yes","","","","","","","","","","",""
"way/1039986349","","yes","","","","","","","","","","",""
"way/1039986350","","yes","","","","","","","","","","",""
"way/1039986351","","yes","","","","","","","","","","",""
"way/1052523301","","yes","1","","100","East Water Street","87501","toilets","","","","",""
"way/1052542395","","yes","2","","222","Otero Street","87501","","","","","",""
"way/1052542398","","yes","","","","","","shelter","","","","",""
"way/1052542400","","greenhouse","","","","","","","","","","",""
"way/1052542402","","yes","","","","","","","","","","",""
"way/1052542403","","yes","","","","","","","","","","",""
"way/1052542411","","yes","","","","","","","","","","",""
"way/1059809057","","yes","","","","","","","","","","",""
"way/1110890809","","yes","","","","","","","","","","",""
"way/1110890810","","yes","","","","","","","","","","",""
"way/1110890811","","yes","","","","","","","","","","",""
"way/1110890812","","yes","","","","","","","","","","",""
"way/1110890816","","yes","","","","","","","","","","",""
"way/1110890817","","yes","","","","","","","","","","",""
"way/1110890820","","yes","","","","","","","","","","",""
"way/1110890822","","yes","","","","","","","","","","",""
"way/1110890823","","yes","","","","","","","","","","",""
"way/1110890825","","yes","","","","","","","","","","",""
"way/1110890826","","yes","","","","","","","","","","",""
"way/1111544024","","house","1","","835","Camino Haciendas","87501","","","","","",""
"way/1111544025","","house","1","","533","Calle Mirasol","87501","","","","","",""
"way/1111544026","","house","1","","865","Camino Haciendas","87501","","","","","",""
"way/1111544027","","house","1","","514","Calle Mirasol","87501","","","","","",""
"way/1111544028","","house","1","","880","Camino Haciendas","87501","","","","","",""
"way/1111544029","","yes","","","","","","","","","","",""
"way/1111544030","","yes","","","","","","","","","","",""
"way/1111544031","","yes","","","","","","","","","","",""
"way/1111544032","","yes","","","","","","","","","","",""
"way/1111544033","","yes","","","","","","","","","","",""
"way/1111544034","","yes","","","","","","","","","","",""
"way/1112518768","","roof","","","","","","","","","","",""
"way/1115624455","","yes","","","","","","","","","","",""
"way/1116162755","","yes","2","","","","","","","","","",""
"way/1116178918","","yes","1","","","","","","","","","",""
"way/1122897153","","yes","","","","","","","","","","",""
"way/1122897154","","yes","","","","","","","","","","",""
"way/1122897155","","yes","","","","","","","","","","",""
"way/1122897156","","yes","","","","","","","","","","",""
"way/1122897157","","yes","","","","","","","","","","",""
"way/1122897158","","yes","","","","","","","","","","",""
"way/1122897159","","yes","","","","","","","","","","",""
"way/1122897160","","yes","","","","","","","","","","",""
"way/1122897161","","yes","","","","","","","","","","",""
"way/1122897162","","yes","","","","","","","","","","",""
"way/1122897163","","yes","","","","","","","","","","",""
"way/1122897164","","yes","","","","","","","","","","",""
"way/1122897165","","yes","","","","","","","","","","",""
"way/1122897166","","yes","","","","","","","","","","",""
"way/1122897167","","yes","","","","","","","","","","",""
"way/1122897168","","yes","","","","","","","","","","",""
"way/1122897169","","yes","","","","","","","","","","",""
"way/1122897170","","yes","","","","","","","","","","",""
"way/1122897171","","yes","","","","","","","","","","",""
"way/1122897172","","yes","","","","","","","","","","",""
"way/1122897173","","yes","","","","","","","","","","",""
"way/1122897174","","yes","","","","","","","","","","",""
"way/1122897175","","yes","","","","","","","","","","",""
"way/1122897176","","yes","","","","","","","","","","",""
"way/1122897177","","yes","","","","","","","","","","",""
"way/1122897178","","yes","","","","","","","","","","",""
"way/1122897179","","yes","","","","","","","","","","",""
"way/1122897180","","yes","","","","","","","","","","",""
"way/1122897181","","yes","","","","","","","","","","",""
"way/1122897182","","yes","","","","","","","","","","",""
"way/1122897183","","yes","","","","","","","","","","",""
"way/1122897184","","yes","","","","","","","","","","",""
"way/1122897185","","yes","","","","","","","","","","",""
"way/1122897186","","yes","","","","","","","","","","",""
"way/1122897187","","yes","","","","","","","","","","",""
"way/1122897188","","yes","","","","","","","","","","",""
"way/1122897189","","yes","","","","","","","","","","",""
"way/1122897190","","yes","","","","","","","","","","",""
"way/1122897191","","yes","","","","","","","","","","",""
"way/1122897192","","yes","","","","","","","","","","",""
"way/1122897193","","yes","","","","","","","","","","",""
"way/1122897194","","yes","","","","","","","","","","",""
"way/1122897195","","yes","","","","","","","","","","",""
"way/1122897196","","yes","","","","","","","","","","",""
"way/1122897828","","yes","","","","","","","","","","",""
"way/1122897829","","yes","","","","","","","","","","",""
"way/1122897830","","yes","","","","","","","","","","",""
"way/1122897831","","yes","","","","","","","","","","",""
"way/1122897832","","yes","","","","","","","","","","",""
"way/1122897833","","yes","","","","","","","","","","",""
"way/1122897834","","yes","","","","","","","","","","",""
"way/1122897835","","yes","","","","","","","","","","",""
"way/1122897836","","yes","","","","","","","","","","",""
"way/1122897837","","yes","","","","","","","","","","",""
"way/1122897841","","yes","","","","","","","","","","",""
"way/1122897842","","yes","","","","","","","","","","",""
"way/1122897843","","yes","","","","","","","","","","",""
"way/1122897844","","yes","","","","","","","","","","",""
"way/1122897845","","yes","","","","","","","","","","",""
"way/1122897846","","yes","","","","","","","","","","",""
"way/1122897847","","yes","","","","","","","","","","",""
"way/1122897848","","yes","","","","","","","","","","",""
"way/1122897849","","yes","","","","","","","","","","",""
"way/1122897850","","yes","","","","","","","","","","",""
"way/1122897851","","yes","","","","","","","","","","",""
"way/1122897852","","yes","","","","","","","","","","",""
"way/1122897853","","yes","","","","","","","","","","",""
"way/1122897854","","yes","","","","","","","","","","",""
"way/1122897855","","yes","","","","","","","","","","",""
"way/1122897856","","yes","","","","","","","","","","",""
"way/1122897857","","yes","","","","","","","","","","",""
"way/1122897858","","yes","","","","","","","","","","",""
"way/1122897859","","yes","","","","","","","","","","",""
"way/1122897860","","yes","","","","","","","","","","",""
"way/1122897861","","yes","","","","","","","","","","",""
"way/1122897862","","yes","","","","","","","","","","",""
"way/1122897863","","yes","","","","","","","","","","",""
"way/1122897864","","yes","","","","","","","","","","",""
"way/1122897865","","yes","","","","","","","","","","",""
"way/1122897866","","yes","","","","","","","","","","",""
"way/1122897867","","yes","","","","","","","","","","",""
"way/1122897868","","yes","","","","","","","","","","",""
"way/1122897869","","yes","","","","","","","","","","",""
"way/1122897870","","yes","","","","","","","","","","",""
"way/1122898195","","yes","","","","","","","","","","",""
"way/1122898196","","yes","","","","","","","","","","",""
"way/1122898197","","yes","","","","","","","","","","",""
"way/1122898198","","yes","","","","","","","","","","",""
"way/1122898199","","yes","","","","","","","","","","",""
"way/1122898200","","yes","","","","","","","","","","",""
"way/1122898201","","yes","","","","","","","","","","",""
"way/1122898202","","yes","","","","","","","","","","",""
"way/1122898203","","yes","","","","","","","","","","",""
"way/1122898204","","yes","","","","","","","","","","",""
"way/1122898205","","yes","","","","","","","","","","",""
"way/1122898206","","yes","","","","","","","","","","",""
"way/1122898207","","yes","","","","","","","","","","",""
"way/1122898208","","yes","","","","","","","","","","",""
"way/1122898209","","yes","","","","","","","","","","",""
"way/1122898210","","yes","","","","","","","","","","",""
"way/1122898211","","yes","","","","","","","","","","",""
"way/1122898212","","yes","","","","","","","","","","",""
"way/1122898213","","yes","","","","","","","","","","",""
"way/1122898214","","yes","","","","","","","","","","",""
"way/1122898215","","yes","","","","","","","","","","",""
"way/1122898216","","yes","","","","","","","","","","",""
"way/1122898217","","yes","","","","","","","","","","",""
"way/1122898218","","yes","","","","","","","","","","",""
"way/1122898219","","yes","","","","","","","","","","",""
"way/1122898220","","yes","","","","","","","","","","",""
"way/1122898221","","yes","","","","","","","","","","",""
"way/1122898222","","yes","","","","","","","","","","",""
"way/1122898223","","yes","","","","","","","","","","",""
"way/1122898224","","yes","","","","","","","","","","",""
"way/1122898225","","yes","","","","","","","","","","",""
"way/1122898226","","yes","","","","","","","","","","",""
"way/1122898227","","yes","","","","","","","","","","",""
"way/1122898228","","yes","","","","","","","","","","",""
"way/1122898229","","yes","","","","","","","","","","",""
"way/1122898230","","yes","","","","","","","","","","",""
"way/1122898231","","yes","","","","","","","","","","",""
"way/1122898232","","yes","","","","","","","","","","",""
"way/1122898233","","yes","","","","","","","","","","",""
"way/1122898234","","yes","","","","","","","","","","",""
"way/1122898235","","yes","","","","","","","","","","",""
"way/1122898236","","yes","","","","","","","","","","",""
"way/1122898237","","yes","","","","","","","","","","",""
"way/1122898238","","yes","","","","","","","","","","",""
"way/1122898239","","yes","","","","","","","","","","",""
"way/1122898240","","yes","","","","","","","","","","",""
"way/1122898241","","yes","","","","","","","","","","",""
"way/1122898242","","yes","","","","","","","","","","",""
"way/1122898243","","yes","","","","","","","","","","",""
"way/1122898244","","yes","","","","","","","","","","",""
"way/1122898572","","yes","","","","","","","","","","",""
"way/1122898573","","yes","","","","","","","","","","",""
"way/1122898574","","yes","","","","","","","","","","",""
"way/1122898575","","yes","","","","","","","","","","",""
"way/1122898576","","yes","","","","","","","","","","",""
"way/1122898577","","yes","","","","","","","","","","",""
"way/1122898578","","yes","","","","","","","","","","",""
"way/1122898579","","yes","","","","","","","","","","",""
"way/1122898580","","yes","","","","","","","","","","",""
"way/1122898581","","yes","","","","","","","","","","",""
"way/1122898582","","yes","","","","","","","","","","",""
"way/1122898583","","yes","","","","","","","","","","",""
"way/1122900268","","yes","","","","","","","","","","",""
"way/1122900269","","yes","","","","","","","","","","",""
"way/1122900270","","yes","","","","","","","","","","",""
"way/1122900271","","yes","","","","","","","","","","",""
"way/1122900272","","yes","","","","","","","","","","",""
"way/1122900273","","yes","","","","","","","","","","",""
"way/1122900274","","yes","","","","","","","","","","",""
"way/1122900275","","yes","","","","","","","","","","",""
"way/1122900276","","yes","","","","","","","","","","",""
"way/1122900277","","yes","","","","","","","","","","",""
"way/1122900278","","yes","","","","","","","","","","",""
"way/1122900279","","yes","","","","","","","","","","",""
"way/1122900280","","yes","","","","","","","","","","",""
"way/1122900281","","yes","","","","","","","","","","",""
"way/1122900282","","yes","","","","","","","","","","",""
"way/1122900283","","yes","","","","","","","","","","",""
"way/1122900284","","yes","","","","","","","","","","",""
"way/1122900285","","yes","","","","","","","","","","",""
"way/1122900286","","yes","","","","","","","","","","",""
"way/1122900287","","yes","","","","","","","","","","",""
"way/1122900288","","yes","","","","","","","","","","",""
"way/1122900289","","yes","","","","","","","","","","",""
"way/1122900290","","yes","","","","","","","","","","",""
"way/1122900291","","yes","","","","","","","","","","",""
"way/1122923951","","yes","","","","","","","","","","",""
"way/1122923952","","yes","","","","","","","","","","",""
"way/1122923953","","yes","","","","","","","","","","",""
"way/1122923954","","yes","","","","","","","","","","",""
"way/1122923955","","yes","","","","","","","","","","",""
"way/1122923956","","yes","","","","","","","","","","",""
"way/1122923957","","yes","","","","","","","","","","",""
"way/1122923958","","yes","","","","","","","","","","",""
"way/1122923959","","yes","","","","","","","","","","",""
